epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.61,1.2406,2.94214,1.42305,0.5957,0.33889,0.40843,0.33365,0.64699,1.88286,0.8906,0.00021109,0.00021109,0.00021109
2,706.683,1.03938,1.38348,1.23262,0.73237,0.50554,0.73588,0.59328,0.75776,1.94291,0.99243,0.000424711,0.000424711,0.000424711
3,1046.31,1.10911,1.22194,1.31291,0.79506,0.9734,0.83991,0.69325,0.51253,1.06978,0.88877,0.000629533,0.000629533,0.000629533
4,1375.97,1.08781,0.99992,1.26701,0.74249,0.9881,0.86063,0.70137,0.49316,0.91635,0.9001,0.000825555,0.000825555,0.000825555
5,1739.93,1.16305,1.01459,1.35172,0.81248,0.94512,0.85709,0.62352,0.71683,1.04107,0.97565,0.00101278,0.00101278,0.00101278
6,2089.25,1.03665,0.86854,1.27489,0.55967,0.9626,0.84783,0.60651,0.8829,1.31582,1.21221,0.00100101,0.00100101,0.00100101
7,2415.49,1.0862,0.83778,1.31261,0.86871,0.97474,0.86353,0.63516,0.64428,0.71027,1.01532,0.000979013,0.000979013,0.000979013
8,2742.6,0.99052,0.81384,1.23952,0.8258,0.97619,0.85866,0.70482,0.53141,0.66525,0.8947,0.000957015,0.000957015,0.000957015
9,3066.76,1.00352,0.7733,1.26438,0.81373,0.97619,0.8561,0.71193,0.5459,0.70185,0.93154,0.000935018,0.000935018,0.000935018
10,3387.16,0.97342,0.74517,1.22725,0.81241,0.97619,0.84598,0.70254,0.51284,0.76664,0.89252,0.00091302,0.00091302,0.00091302
11,3713.51,0.95823,0.73459,1.23958,0.73358,0.93394,0.81785,0.67409,0.49278,0.65451,0.91555,0.000891022,0.000891022,0.000891022
12,4041.38,1.00521,0.72797,1.2761,0.67335,0.97606,0.85958,0.68873,0.49268,0.61914,0.92901,0.000869024,0.000869024,0.000869024
13,4366.38,0.91154,0.67707,1.21073,0.84218,0.98747,0.86022,0.69926,0.52275,0.67679,0.92294,0.000847026,0.000847026,0.000847026
14,4690.47,0.90337,0.65505,1.18801,0.84338,0.9881,0.8598,0.73308,0.42145,0.61577,0.84005,0.000825029,0.000825029,0.000825029
15,5017.83,0.90583,0.6234,1.18737,0.81684,0.9881,0.85663,0.7195,0.50253,0.60635,0.90493,0.000803031,0.000803031,0.000803031
16,5338.93,0.93972,0.66703,1.25494,0.73944,0.84264,0.86215,0.71259,0.50237,0.78073,0.92157,0.000781033,0.000781033,0.000781033
17,5659.51,0.88879,0.65637,1.20351,0.77784,0.97186,0.85963,0.72167,0.51982,0.68935,0.88456,0.000759035,0.000759035,0.000759035
18,5979.51,0.87573,0.64559,1.17884,0.7235,0.95108,0.86074,0.71872,0.49816,0.75216,0.88712,0.000737037,0.000737037,0.000737037
19,6301.14,0.85826,0.62292,1.17987,0.82073,0.9881,0.85543,0.70629,0.51662,0.65023,0.91375,0.00071504,0.00071504,0.00071504
20,6623.89,0.86142,0.63586,1.17147,0.74284,0.8446,0.8607,0.70168,0.54668,0.7428,0.93462,0.000693042,0.000693042,0.000693042
21,6913.3,0.8484,0.61015,1.17969,0.79199,0.9881,0.85146,0.66741,0.56997,0.68613,0.93592,0.000671044,0.000671044,0.000671044
22,7170.46,0.90723,0.62717,1.20618,0.7468,0.74074,0.84928,0.68312,0.44598,0.61953,0.89246,0.000649046,0.000649046,0.000649046
23,7430.34,0.86482,0.61632,1.17015,0.86761,0.97143,0.89244,0.73259,0.45715,0.43363,0.90717,0.000627048,0.000627048,0.000627048
24,7685.25,0.8412,0.59893,1.15322,0.88865,0.95904,0.92296,0.78473,0.42882,0.42988,0.87279,0.000605051,0.000605051,0.000605051
25,7945.86,0.8228,0.53734,1.13674,0.9761,0.96936,0.96689,0.82742,0.45376,0.3451,0.90357,0.000583053,0.000583053,0.000583053
26,8208.01,0.79248,0.56053,1.12194,0.95136,0.96774,0.96806,0.82876,0.46446,0.426,0.90512,0.000561055,0.000561055,0.000561055
27,8473.59,0.83001,0.57096,1.15345,0.96463,0.97071,0.96757,0.82638,0.45881,0.30726,0.89722,0.000539057,0.000539057,0.000539057
28,8736.59,0.81692,0.55589,1.158,0.96616,0.97074,0.96904,0.81255,0.47934,0.35233,0.91574,0.000517059,0.000517059,0.000517059
29,8994.35,0.79697,0.5657,1.155,0.9617,0.95952,0.96495,0.82988,0.44749,0.36302,0.89325,0.000495062,0.000495062,0.000495062
