epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4739,1.17951,3.01499,1.41307,0.61198,0.86199,0.88778,0.62113,1.39178,1.33117,1.24621,0,0,0
2,13.9228,1.37688,2.96491,1.6589,0.60342,0.87941,0.88807,0.61531,1.40161,1.34925,1.25018,1.17822e-06,1.17822e-06,1.17822e-06
3,18.4086,1.46264,2.39516,1.80609,0.59263,0.87424,0.88799,0.61749,1.4307,1.3729,1.26985,2.33288e-06,2.33288e-06,2.33288e-06
4,22.9118,1.5525,2.90542,1.81168,0.55007,0.83333,0.83111,0.59626,1.4625,1.41061,1.28101,3.46397e-06,3.46397e-06,3.46397e-06
5,27.4853,1.42425,2.53159,1.67424,0.6759,0.75,0.87224,0.58088,1.49093,1.46574,1.30506,4.5715e-06,4.5715e-06,4.5715e-06
6,32.1824,1.27226,3.17698,1.63058,0.81527,0.56667,0.88625,0.57077,1.50684,1.5131,1.31664,5.65548e-06,5.65548e-06,5.65548e-06
7,36.8638,1.01836,2.21534,1.28426,0.80619,0.58333,0.88636,0.56513,1.52203,1.58763,1.33507,6.71588e-06,6.71588e-06,6.71588e-06
8,41.8342,0.99902,2.47745,1.35154,0.78943,0.58333,0.88288,0.53067,1.53664,1.65868,1.34657,7.75273e-06,7.75273e-06,7.75273e-06
9,46.5864,1.21222,2.24839,1.46556,0.77082,0.58333,0.77004,0.52909,1.54719,1.72157,1.35447,8.76602e-06,8.76602e-06,8.76602e-06
10,51.3741,0.93252,2.70712,1.41495,0.74809,0.58333,0.77233,0.52078,1.54609,1.75537,1.35504,9.75574e-06,9.75574e-06,9.75574e-06
11,56.3571,1.18842,2.31777,1.40614,0.70361,0.58333,0.74328,0.50878,1.5487,1.77565,1.36006,1.07219e-05,1.07219e-05,1.07219e-05
12,61.1383,1.17964,2.21415,1.40421,0.68219,0.58333,0.74331,0.50019,1.54227,1.80559,1.35572,1.16645e-05,1.16645e-05,1.16645e-05
13,66.205,0.99838,2.81209,1.35717,0.93905,0.37115,0.74345,0.50681,1.54028,1.84195,1.36001,1.25835e-05,1.25835e-05,1.25835e-05
14,72.2802,1.07206,2.5374,1.44601,0.9392,0.371,0.66099,0.475,1.53851,1.87984,1.36158,1.3479e-05,1.3479e-05,1.3479e-05
15,77.5102,1.21546,2.09009,1.41266,0.93997,0.37136,0.66199,0.48206,1.5192,1.90176,1.3533,1.43509e-05,1.43509e-05,1.43509e-05
16,82.4347,1.09554,1.94309,1.36715,0.93599,0.37369,0.63461,0.48131,1.52261,1.95015,1.36707,1.51993e-05,1.51993e-05,1.51993e-05
17,87.505,0.87028,1.42362,1.24005,0.93876,0.37348,0.63457,0.48174,1.51506,1.94798,1.36506,1.60241e-05,1.60241e-05,1.60241e-05
18,92.5019,0.98339,1.79826,1.34386,0.93876,0.37348,0.63457,0.48174,1.51506,1.94798,1.36506,1.68253e-05,1.68253e-05,1.68253e-05
19,97.3363,0.99693,1.43613,1.24715,0.93916,0.37378,0.63442,0.46564,1.53343,1.9659,1.36287,1.7603e-05,1.7603e-05,1.7603e-05
20,102.153,1.0268,2.11347,1.44742,0.93916,0.37378,0.63442,0.46564,1.53343,1.9659,1.36287,1.83571e-05,1.83571e-05,1.83571e-05
21,107.161,0.87772,1.85488,1.30811,0.93989,0.37378,0.61043,0.44906,1.5686,2.05229,1.38814,1.90876e-05,1.90876e-05,1.90876e-05
22,112.122,0.8007,1.85422,1.14716,0.93989,0.37378,0.61043,0.44906,1.5686,2.05229,1.38814,1.97946e-05,1.97946e-05,1.97946e-05
23,117.386,1.05166,1.97943,1.33803,0.93759,0.37349,0.60848,0.44699,1.57404,2.10521,1.39472,2.0478e-05,2.0478e-05,2.0478e-05
24,122.268,1.09034,2.47137,1.51957,0.93759,0.37349,0.60848,0.44699,1.57404,2.10521,1.39472,2.11379e-05,2.11379e-05,2.11379e-05
25,127.2,0.64922,1.56163,1.11823,0.936,0.3733,0.59347,0.43343,1.62671,2.17323,1.43605,2.17741e-05,2.17741e-05,2.17741e-05
26,132.208,0.87746,1.425,1.15921,0.936,0.3733,0.59347,0.43343,1.62671,2.17323,1.43605,2.23869e-05,2.23869e-05,2.23869e-05
27,137.148,0.95321,1.5417,1.36537,0.93635,0.37359,0.58989,0.43213,1.66741,2.25093,1.49483,2.2976e-05,2.2976e-05,2.2976e-05
28,141.914,1.14324,1.59267,1.44952,0.93635,0.37359,0.58989,0.43213,1.66741,2.25093,1.49483,2.35417e-05,2.35417e-05,2.35417e-05
29,146.718,1.00269,1.3369,1.35412,0.93412,0.37348,0.45184,0.31908,1.7003,2.28958,1.51986,2.40837e-05,2.40837e-05,2.40837e-05
30,151.415,1.44718,2.4391,1.78191,0.93412,0.37348,0.45184,0.31908,1.7003,2.28958,1.51986,2.46022e-05,2.46022e-05,2.46022e-05
31,156.348,0.7893,1.9144,1.28754,0.93262,0.37336,0.45406,0.3047,1.72655,2.32378,1.5392,2.50971e-05,2.50971e-05,2.50971e-05
32,162.172,0.80724,1.03891,1.13146,0.93262,0.37336,0.45406,0.3047,1.72655,2.32378,1.5392,2.55685e-05,2.55685e-05,2.55685e-05
33,167.689,1.06749,3.16428,1.41375,0.93527,0.37328,0.44098,0.32052,1.75553,2.36446,1.54377,2.60163e-05,2.60163e-05,2.60163e-05
34,172.724,0.86309,1.03216,1.2879,0.93527,0.37328,0.44098,0.32052,1.75553,2.36446,1.54377,2.64405e-05,2.64405e-05,2.64405e-05
35,177.75,0.75264,1.59969,1.1939,0.92646,0.37293,0.44136,0.32059,1.76007,2.38931,1.55109,2.68412e-05,2.68412e-05,2.68412e-05
36,182.485,0.8953,1.49149,1.19793,0.92646,0.37293,0.44136,0.32059,1.76007,2.38931,1.55109,2.72183e-05,2.72183e-05,2.72183e-05
37,187.433,0.73702,1.29664,1.26766,0.92545,0.37295,0.41335,0.27858,1.7564,2.43096,1.54524,2.75718e-05,2.75718e-05,2.75718e-05
38,193.529,0.74523,0.9428,1.0942,0.92545,0.37295,0.41335,0.27858,1.7564,2.43096,1.54524,2.79018e-05,2.79018e-05,2.79018e-05
39,199.459,0.83764,1.74937,1.19295,0.74186,0.38284,0.41529,0.279,1.76474,2.4522,1.54459,2.82082e-05,2.82082e-05,2.82082e-05
40,204.396,0.75737,0.97862,1.10823,0.74186,0.38284,0.41529,0.279,1.76474,2.4522,1.54459,2.84911e-05,2.84911e-05,2.84911e-05
41,209.473,1.38516,2.1672,1.70617,0.94586,0.38908,0.41946,0.28113,1.75921,2.40267,1.53665,2.87504e-05,2.87504e-05,2.87504e-05
42,214.313,0.80644,1.13563,1.20605,0.94586,0.38908,0.41946,0.28113,1.75921,2.40267,1.53665,2.89861e-05,2.89861e-05,2.89861e-05
43,219.114,0.8317,0.87748,1.09283,0.94529,0.39072,0.4197,0.28957,1.75145,2.42106,1.52836,2.91983e-05,2.91983e-05,2.91983e-05
44,223.849,0.89708,1.27241,1.25025,0.94529,0.39072,0.4197,0.28957,1.75145,2.42106,1.52836,2.93869e-05,2.93869e-05,2.93869e-05
45,228.237,0.67538,1.25255,1.1794,0.94545,0.39101,0.42038,0.28191,1.75238,2.37526,1.51522,2.9552e-05,2.9552e-05,2.9552e-05
46,232.456,0.69808,0.92853,1.0311,0.94545,0.39101,0.42038,0.28191,1.75238,2.37526,1.51522,2.96935e-05,2.96935e-05,2.96935e-05
47,236.653,0.69448,0.75608,1.01433,0.94734,0.39196,0.42106,0.28253,1.75399,2.35202,1.5145,2.98114e-05,2.98114e-05,2.98114e-05
48,240.533,0.70661,0.90069,1.15918,0.94734,0.39196,0.42106,0.28253,1.75399,2.35202,1.5145,2.99058e-05,2.99058e-05,2.99058e-05
49,244.447,0.85663,1.27274,1.28098,0.94888,0.39421,0.42137,0.31568,1.75468,2.31767,1.5024,2.99766e-05,2.99766e-05,2.99766e-05
50,249.594,0.83481,1.52878,1.29137,0.94888,0.39421,0.42137,0.31568,1.75468,2.31767,1.5024,3.00238e-05,3.00238e-05,3.00238e-05
51,253.862,0.6995,1.07994,1.13201,0.78251,0.39376,0.42113,0.3154,1.75665,2.36351,1.50078,3.00475e-05,3.00475e-05,3.00475e-05
52,257.481,0.79739,1.90132,1.36238,0.78251,0.39376,0.42113,0.3154,1.75665,2.36351,1.50078,3.00476e-05,3.00476e-05,3.00476e-05
53,261.087,0.96879,0.9553,1.36977,0.78251,0.39376,0.42113,0.3154,1.75665,2.36351,1.50078,3.00242e-05,3.00242e-05,3.00242e-05
54,264.812,0.66854,0.84701,1.09831,0.95182,0.3957,0.42181,0.31619,1.74624,2.32548,1.47905,2.99772e-05,2.99772e-05,2.99772e-05
55,268.438,0.62864,0.7059,1.08917,0.95182,0.3957,0.42181,0.31619,1.74624,2.32548,1.47905,2.99066e-05,2.99066e-05,2.99066e-05
56,272.818,0.82867,0.96503,1.29492,0.95182,0.3957,0.42181,0.31619,1.74624,2.32548,1.47905,2.98125e-05,2.98125e-05,2.98125e-05
57,276.809,0.70264,0.74045,1.12485,0.95339,0.39542,0.42169,0.31616,1.75707,2.34169,1.48566,2.96948e-05,2.96948e-05,2.96948e-05
58,281.317,0.68403,0.89599,1.09207,0.95339,0.39542,0.42169,0.31616,1.75707,2.34169,1.48566,2.95535e-05,2.95535e-05,2.95535e-05
59,285.016,0.67086,0.78588,1.07498,0.95339,0.39542,0.42169,0.31616,1.75707,2.34169,1.48566,2.93887e-05,2.93887e-05,2.93887e-05
60,288.852,0.57274,0.92569,0.96144,0.95588,0.39385,0.42382,0.29176,1.77428,2.34537,1.49415,2.92003e-05,2.92003e-05,2.92003e-05
61,292.816,0.67512,0.89479,1.16001,0.95588,0.39385,0.42382,0.29176,1.77428,2.34537,1.49415,2.89884e-05,2.89884e-05,2.89884e-05
62,296.606,0.86006,0.88519,1.22981,0.95588,0.39385,0.42382,0.29176,1.77428,2.34537,1.49415,2.87529e-05,2.87529e-05,2.87529e-05
63,300.344,0.83973,0.93661,1.26038,0.96075,0.39179,0.42285,0.29934,1.77886,2.34957,1.49296,2.84938e-05,2.84938e-05,2.84938e-05
64,304.165,0.6532,1.11142,1.12559,0.96075,0.39179,0.42285,0.29934,1.77886,2.34957,1.49296,2.82112e-05,2.82112e-05,2.82112e-05
65,307.808,0.52713,0.63991,1.07582,0.96075,0.39179,0.42285,0.29934,1.77886,2.34957,1.49296,2.7905e-05,2.7905e-05,2.7905e-05
66,311.339,0.79832,1.14125,1.10739,0.96678,0.39294,0.42426,0.30161,1.77398,2.36425,1.48698,2.75753e-05,2.75753e-05,2.75753e-05
67,314.894,0.77048,1.02956,1.21783,0.96678,0.39294,0.42426,0.30161,1.77398,2.36425,1.48698,2.7222e-05,2.7222e-05,2.7222e-05
68,318.335,0.9823,1.23032,1.38253,0.96678,0.39294,0.42426,0.30161,1.77398,2.36425,1.48698,2.68451e-05,2.68451e-05,2.68451e-05
69,321.83,0.60842,0.60284,1.00079,0.97497,0.39626,0.4255,0.30199,1.7708,2.36521,1.49195,2.64447e-05,2.64447e-05,2.64447e-05
70,325.324,1.07877,1.12386,1.4085,0.97497,0.39626,0.4255,0.30199,1.7708,2.36521,1.49195,2.60207e-05,2.60207e-05,2.60207e-05
71,329.666,0.75653,0.57657,1.1362,0.97497,0.39626,0.4255,0.30199,1.7708,2.36521,1.49195,2.55731e-05,2.55731e-05,2.55731e-05
72,333.404,0.71093,0.75431,1.09373,0.77873,0.4,0.42516,0.30145,1.76369,2.36597,1.47589,2.5102e-05,2.5102e-05,2.5102e-05
73,337.002,0.49733,0.65716,0.94981,0.77873,0.4,0.42516,0.30145,1.76369,2.36597,1.47589,2.46073e-05,2.46073e-05,2.46073e-05
74,340.663,0.78787,0.78934,1.2248,0.77873,0.4,0.42516,0.30145,1.76369,2.36597,1.47589,2.40891e-05,2.40891e-05,2.40891e-05
75,344.267,0.78604,0.96276,1.3283,0.76507,0.4,0.42479,0.30131,1.74758,2.36813,1.46119,2.35472e-05,2.35472e-05,2.35472e-05
76,347.719,0.5944,0.71698,1.08179,0.76507,0.4,0.42479,0.30131,1.74758,2.36813,1.46119,2.29819e-05,2.29819e-05,2.29819e-05
77,351.697,0.71992,0.94643,1.16726,0.76507,0.4,0.42479,0.30131,1.74758,2.36813,1.46119,2.23929e-05,2.23929e-05,2.23929e-05
78,355.83,0.55906,0.7345,1.04002,0.89539,0.4,0.42618,0.30217,1.76438,2.36689,1.46336,2.17805e-05,2.17805e-05,2.17805e-05
79,359.732,0.65026,0.93861,1.123,0.89539,0.4,0.42618,0.30217,1.76438,2.36689,1.46336,2.11444e-05,2.11444e-05,2.11444e-05
80,363.754,0.72269,0.73249,1.23376,0.89539,0.4,0.42618,0.30217,1.76438,2.36689,1.46336,2.04848e-05,2.04848e-05,2.04848e-05
81,368.596,0.56871,0.55415,1.10715,0.87312,0.4,0.42759,0.30099,1.76388,2.36809,1.46373,1.98016e-05,1.98016e-05,1.98016e-05
82,372.285,0.5995,0.63147,1.08674,0.87312,0.4,0.42759,0.30099,1.76388,2.36809,1.46373,1.90949e-05,1.90949e-05,1.90949e-05
83,375.703,0.59188,0.82564,1.08464,0.87312,0.4,0.42759,0.30099,1.76388,2.36809,1.46373,1.83646e-05,1.83646e-05,1.83646e-05
84,379.758,0.71096,0.68738,1.029,0.86263,0.4,0.42813,0.30303,1.76619,2.37446,1.46329,1.76107e-05,1.76107e-05,1.76107e-05
85,383.258,0.63931,0.62168,1.09962,0.86263,0.4,0.42813,0.30303,1.76619,2.37446,1.46329,1.68333e-05,1.68333e-05,1.68333e-05
86,386.644,0.88146,0.93923,1.37086,0.86263,0.4,0.42813,0.30303,1.76619,2.37446,1.46329,1.60323e-05,1.60323e-05,1.60323e-05
87,390.143,0.4903,0.72815,1.03202,0.86263,0.4,0.42813,0.30303,1.76619,2.37446,1.46329,1.52077e-05,1.52077e-05,1.52077e-05
88,393.615,0.79359,1.06205,1.20561,0.85364,0.4,0.42855,0.30321,1.76287,2.37718,1.45929,1.43596e-05,1.43596e-05,1.43596e-05
89,397.155,0.56196,0.57914,1.0664,0.85364,0.4,0.42855,0.30321,1.76287,2.37718,1.45929,1.34879e-05,1.34879e-05,1.34879e-05
90,401.006,0.49135,0.48162,0.9727,0.85364,0.4,0.42855,0.30321,1.76287,2.37718,1.45929,1.25927e-05,1.25927e-05,1.25927e-05
91,404.816,0.54624,0.4732,1.00452,0.85364,0.4,0.42855,0.30321,1.76287,2.37718,1.45929,1.16739e-05,1.16739e-05,1.16739e-05
92,408.606,0.61781,0.53601,0.93317,0.86,0.4,0.42854,0.3038,1.75185,2.38638,1.43984,1.07315e-05,1.07315e-05,1.07315e-05
93,413.098,0.55228,0.56531,1.07652,0.86,0.4,0.42854,0.3038,1.75185,2.38638,1.43984,9.76562e-06,9.76562e-06,9.76562e-06
94,417.935,0.47637,0.53007,0.9305,0.86,0.4,0.42854,0.3038,1.75185,2.38638,1.43984,8.77613e-06,8.77613e-06,8.77613e-06
95,421.556,0.48512,0.53927,0.95289,0.86,0.4,0.42854,0.3038,1.75185,2.38638,1.43984,7.76308e-06,7.76308e-06,7.76308e-06
96,425.389,0.48743,0.49752,0.92644,0.89606,0.4,0.42694,0.30643,1.73965,2.40194,1.43053,6.72648e-06,6.72648e-06,6.72648e-06
97,429.265,0.63921,0.62422,1.01893,0.89606,0.4,0.42694,0.30643,1.73965,2.40194,1.43053,5.6663e-06,5.6663e-06,5.6663e-06
