epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3512,1.00573,2.83254,1.30368,0.93574,0.78936,0.93157,0.72357,1.19514,0.83005,1.12785,0,0,0
2,29.8753,1.35399,2.1821,1.59089,0.92612,0.79306,0.93268,0.73641,1.19148,0.83368,1.12759,1.16644e-06,1.16644e-06,1.16644e-06
3,40.5728,1.30248,2.17174,1.74249,0.92664,0.79386,0.93269,0.73658,1.19366,0.83667,1.12875,2.28575e-06,2.28575e-06,2.28575e-06
4,51.2755,1.34599,3.16685,1.7069,0.91917,0.79665,0.93135,0.73598,1.19026,0.84905,1.12719,3.35794e-06,3.35794e-06,3.35794e-06
5,62.087,1.07954,2.91537,1.44173,0.9189,0.79759,0.93075,0.73175,1.19791,0.84323,1.13281,4.38301e-06,4.38301e-06,4.38301e-06
6,72.7759,1.0989,3.24992,1.53313,0.90581,0.802,0.92971,0.71519,1.20218,0.86017,1.13466,5.36095e-06,5.36095e-06,5.36095e-06
7,82.8583,1.12103,1.57771,1.3118,0.90384,0.80342,0.92971,0.73765,1.21087,0.85767,1.13924,6.29177e-06,6.29177e-06,6.29177e-06
8,93.32,0.91822,2.27542,1.28669,0.88779,0.80749,0.93224,0.73855,1.21093,0.86686,1.13982,7.17546e-06,7.17546e-06,7.17546e-06
9,104.154,0.89101,1.82641,1.23288,0.86484,0.81228,0.93117,0.722,1.21168,0.87522,1.14205,8.01203e-06,8.01203e-06,8.01203e-06
10,113.699,0.96415,1.74559,1.46313,0.83299,0.81561,0.93155,0.7234,1.21156,0.88486,1.14309,8.80148e-06,8.80148e-06,8.80148e-06
11,124.322,0.99671,1.69848,1.28972,0.77209,0.83333,0.93132,0.72377,1.21415,0.90291,1.14619,9.5438e-06,9.5438e-06,9.5438e-06
12,134.173,0.97132,1.28258,1.27528,0.86439,0.81136,0.93287,0.67406,1.21708,0.9324,1.14825,1.0239e-05,1.0239e-05,1.0239e-05
13,144.82,0.90169,1.98707,1.22115,0.85567,0.8125,0.93122,0.67272,1.21824,0.95961,1.14963,1.08871e-05,1.08871e-05,1.08871e-05
14,157.119,1.02153,1.89701,1.35307,0.86296,0.81095,0.93223,0.67646,1.21788,0.97402,1.1473,1.1488e-05,1.1488e-05,1.1488e-05
15,168.015,0.92675,1.51396,1.14503,0.86695,0.81032,0.93085,0.67601,1.21866,0.99641,1.14875,1.20418e-05,1.20418e-05,1.20418e-05
16,177.5,0.96172,1.36754,1.24222,0.85696,0.8136,0.91619,0.66987,1.22802,1.02607,1.15093,1.25486e-05,1.25486e-05,1.25486e-05
17,188.022,0.67036,0.92803,1.09902,0.85162,0.81509,0.91584,0.66105,1.2472,1.02538,1.16749,1.30081e-05,1.30081e-05,1.30081e-05
18,198.718,0.85187,1.0518,1.21004,0.85162,0.81509,0.91584,0.66105,1.2472,1.02538,1.16749,1.34206e-05,1.34206e-05,1.34206e-05
19,208.515,0.69793,0.74636,1.00143,0.84312,0.8164,0.92914,0.63389,1.27398,1.05226,1.19152,1.37859e-05,1.37859e-05,1.37859e-05
20,219.035,0.61045,1.11363,1.07625,0.84312,0.8164,0.92914,0.63389,1.27398,1.05226,1.19152,1.41041e-05,1.41041e-05,1.41041e-05
21,229.826,0.86526,0.96949,1.25393,0.84831,0.81474,0.93089,0.6038,1.35993,1.02028,1.29574,1.43752e-05,1.43752e-05,1.43752e-05
22,239.374,0.60613,1.06121,1.02389,0.84831,0.81474,0.93089,0.6038,1.35993,1.02028,1.29574,1.45992e-05,1.45992e-05,1.45992e-05
23,250.124,0.88979,1.2506,1.16775,0.84637,0.81456,0.91651,0.58982,1.45435,0.96699,1.41347,1.4776e-05,1.4776e-05,1.4776e-05
24,260.657,0.91246,1.49372,1.31432,0.84637,0.81456,0.91651,0.58982,1.45435,0.96699,1.41347,1.49057e-05,1.49057e-05,1.49057e-05
25,271.988,0.59218,0.91634,1.08028,0.82455,0.88606,0.95602,0.5717,1.48629,0.97993,1.4481,1.49883e-05,1.49883e-05,1.49883e-05
26,282.614,0.7521,0.89182,1.0717,0.82455,0.88606,0.95602,0.5717,1.48629,0.97993,1.4481,1.50238e-05,1.50238e-05,1.50238e-05
27,294.111,0.7561,1.20532,1.18186,0.85425,0.81206,0.88021,0.56378,1.42249,1.01037,1.34315,1.50121e-05,1.50121e-05,1.50121e-05
28,305.057,0.88986,0.96351,1.31273,0.85425,0.81206,0.88021,0.56378,1.42249,1.01037,1.34315,1.49533e-05,1.49533e-05,1.49533e-05
29,314.903,0.84128,0.92883,1.23276,0.82202,0.89876,0.95524,0.57318,1.43147,1.00194,1.34356,1.48474e-05,1.48474e-05,1.48474e-05
30,325.657,1.25456,1.26889,1.55723,0.82202,0.89876,0.95524,0.57318,1.43147,1.00194,1.34356,1.46944e-05,1.46944e-05,1.46944e-05
31,337.004,0.74741,0.88109,1.19623,0.82036,0.89044,0.95465,0.57956,1.44867,1.00902,1.34967,1.44942e-05,1.44942e-05,1.44942e-05
